feature_index,feature_name,useful_mean_tfidf,not_useful_mean_tfidf,difference
45,app,0.00017375966593522878,0.01095517973285487,-0.01078142006691964
390,health,0.009002705389337956,0.019722326746384862,-0.010719621357046906
661,performance,0.004295254015094523,0.014720710503639852,-0.010425456488545329
813,self,0.002178085073606334,0.011639436276009494,-0.00946135120240316
294,energy,0.006885088801690474,0.016111898840210248,-0.009226810038519774
184,covid,0.00035553659208169085,0.009441574629327784,-0.009086038037246093
106,care,0.002266576642247868,0.010954535640299683,-0.008687958998051814
464,intervention,0.00335492326560024,0.01194578029398787,-0.00859085702838763
129,charge,0.0014495182823371757,0.009963037393989928,-0.008513519111652754
905,surface,0.004334246627244792,0.012796009010649107,-0.008461762383404316
714,properties,0.004975624869473071,0.013090426806237614,-0.008114801936764542
893,structure,0.002754607081686884,0.01083521078805044,-0.008080603706363557
397,high,0.01396996328927179,0.021935848888351893,-0.007965885599080102
651,participants,0.004351666861871989,0.01230394387618649,-0.0079522770143145
47,applications,0.0036134076317851493,0.011546157111793262,-0.007932749480008112
254,electric field,0.010996547439156481,0.018682894448449755,-0.007686347009293274
104,carbon,0.0006187438632083788,0.008000730829032944,-0.007381986965824565
716,proposed,0.0036719229135694777,0.01102541105424281,-0.007353488140673332
545,metal,0.0015745994267774195,0.008857014888121524,-0.007282415461344105
566,mobile,0.011139193222348225,0.018401810003803917,-0.007262616781455691
269,electron,0.0020491895322497524,0.008938367868657733,-0.006889178336407981
252,efficiency,0.0019042096565034642,0.008720196328155447,-0.006815986671651983
473,ion,0.002451651223046211,0.009243034218437305,-0.0067913829953910945
223,digital,0.001378209690806987,0.008045720647390047,-0.00666751095658306
669,phase,0.0043685557243797815,0.010875459031986662,-0.006506903307606881
704,process,0.0034035518712244124,0.009807113172142551,-0.006403561300918139
850,social,0.0012670199152602642,0.00747846937304735,-0.006211449457787085
734,quantum,0.0007708366973841721,0.0069746663441690015,-0.00620382964678483
981,water,0.004809976029404511,0.010935135026205562,-0.006125158996801052
465,interventions,0.002438097660506658,0.008461358880513352,-0.006023261220006694
864,spin,0.0013279508027945076,0.0072600491540770265,-0.005932098351282519
179,cost,0.0009398348450843759,0.0068304090048667025,-0.005890574159782326
844,smartphone,0.00037382492679824766,0.006101847122874394,-0.005728022196076147
491,layer,0.0016676735438528063,0.0073811316719326935,-0.005713458128079887
569,mobility,0.0007331916624394981,0.006417547913477144,-0.005684356251037645
50,apps,1.4267972666919888e-05,0.005694252868396258,-0.005679984895729338
816,sensor,0.0012402170419732867,0.006736938102358921,-0.005496721060385634
69,batteries,0.00013856920567761142,0.005567346403998122,-0.005428777198320511
253,efficient,0.0011900022759615291,0.00655440575953195,-0.00536440348357042
871,state,0.004112596495025443,0.009467052671171443,-0.005354456176146
685,polarization,0.0016213840086478208,0.006942571386711023,-0.005321187378063202
55,assisted,0.0006844133929633808,0.005876648534598338,-0.005192235141634957
503,liquid,0.0008618228237088518,0.006039620182842661,-0.005177797359133809
868,stability,0.000971631751205436,0.0061209083308720914,-0.005149276579666655
329,extraction,0.000587276144950517,0.005721364543121771,-0.005134088398171254
922,text,0.00045093259891337085,0.005552578412063807,-0.005101645813150437
885,storage,0.00046127563965438716,0.005492882339122372,-0.0050316066994679845
967,vehicles,0.00022821021227476917,0.00523049634181631,-0.005002286129541541
647,pandemic,0.00016873703193081416,0.00516545286810848,-0.004996715836177666
551,mhealth,0.0,0.004927751701468995,-0.004927751701468995
