feature_index,feature_name,useful_mean_tfidf,not_useful_mean_tfidf,difference
322,exposure,0.050119804932156044,0.0028539772844546874,0.047265827647701354
518,magnetic,0.046142820670420595,0.015345568504077057,0.03079725216634354
348,fields,0.03638933414821001,0.006863664501224276,0.029525669646985733
264,electromagnetic,0.030669062026617303,0.0038470431120347223,0.02682201891458258
321,exposed,0.02338200449327316,0.0014395405084861688,0.02194246398478699
282,emf,0.023007754173885463,0.0013045803629871816,0.021703173810898282
115,cells,0.0283826362364911,0.006960363320426448,0.021422272916064654
882,stimulation,0.036450216312382905,0.015424872608655106,0.0210253437037278
520,magnetic fields,0.01892957106321864,0.0012569580868856053,0.017672612976333036
519,magnetic field,0.022429042938485848,0.004788495201217392,0.017640547737268454
745,rats,0.0184637847150346,0.0012974503022816855,0.017166334412752917
736,radiation,0.019208545308224387,0.003246543150909588,0.0159620021573148
266,electromagnetic fields,0.015490405188526757,0.0006365557499605467,0.01485384943856621
783,rf,0.019947824212052104,0.005827463054951822,0.014120361157100282
416,hz,0.018104840814126808,0.0039871930903716815,0.014117647723755126
88,brain,0.02107511643898343,0.007593213199335345,0.013481903239648086
113,cell,0.023008838276856413,0.009774427272369633,0.01323441100448678
258,electrical,0.019841058011061497,0.006892430819276193,0.012948627191785304
276,elf,0.012361964898956216,0.0001732973861601568,0.01218866751279606
344,field,0.038137069762279534,0.026239970651547675,0.011897099110731859
548,mf,0.012133311953317308,0.0004171997454790352,0.011716112207838273
552,mhz,0.011995813342514969,0.0012288325293187282,0.01076698081319624
449,injury,0.012553739570243671,0.0023484017858409704,0.010205337784402701
657,pemf,0.010302737352662778,0.00010964978937585034,0.010193087563286927
797,sar,0.010377790241118118,0.00018915682532379024,0.010188633415794329
410,human,0.016280247824390293,0.006277430903986529,0.010002816920403765
728,pulsed,0.012470955347993359,0.002621663402584654,0.009849291945408704
950,type,0.014553108638351957,0.005172518977719374,0.009380589660632582
325,expression,0.011244588481840416,0.002039592066777964,0.009204996415062453
437,induced,0.017140589277413805,0.008080714879057357,0.009059874398356448
553,mice,0.010525728994764288,0.001485208478538883,0.009040520516225406
265,electromagnetic field,0.010195809442652543,0.0012784821347696046,0.008917327307882939
930,tissue,0.012414577779072759,0.0036982525298984966,0.008716325249174262
739,radiofrequency,0.013565830124531669,0.00491870413342717,0.008647125991104499
86,body,0.011975769938709989,0.0037249162457513815,0.008250853692958608
583,mri,0.011718245494272278,0.0035249291791227917,0.008193316315149485
87,bone,0.01003143576052613,0.0019531302545892936,0.008078305505936837
39,animals,0.008773526738013477,0.0007984970610590868,0.00797502967695439
585,mt,0.008733393546603026,0.0010071354790803925,0.007726258067522633
824,sham,0.011918642917117138,0.004201519143706081,0.007717123773411057
324,exposures,0.008029128476271762,0.0003613845601115627,0.007667743916160199
872,static,0.010000346642201586,0.0024440942472636574,0.007556252394937928
793,rtms,0.01713950103038921,0.009617713651445464,0.0075217873789437464
847,smf,0.0076742052434288785,0.0004586055810496103,0.007215599662379268
117,cellular,0.008816427891864794,0.001703901005889873,0.007112526885974921
873,static magnetic,0.00787345329242772,0.0008693033540102833,0.007004149938417437
80,biological,0.009885490145782432,0.002889299314297985,0.006996190831484447
612,non,0.015902564571374452,0.008915692806710987,0.006986871764663465
904,support non,0.006973836978731901,6.198770920801422e-06,0.006967638207811099
331,extremely low,0.006984913119554796,0.00016396471201051053,0.006820948407544286
